Species	Order	Family	Br	Bd	Ref
Bettongia_gaimardi	Diprotodontia	Potoroidae	1.083545617	3.104828404	Boddy 2012
Bettongia_penicillata	Diprotodontia	Potoroidae	0.995817648	2.991669007	Boddy 2012
Cercartetus_concinnus	Diprotodontia	Burramyidae	-0.50751899	0.977723605	Boddy 2012
Cercartetus_lepidus	Diprotodontia	Burramyidae	-0.428337744	0.892094603	Boddy 2012
Dactylopsila_trivirgata	Diprotodontia	Petauridae	0.78102831	2.704150517	Boddy 2012
Dendrolagus_dorianus	Diprotodontia	Macropodidae	1.524562278	3.897462138	Boddy 2012
Dendrolagus_inustus	Diprotodontia	Macropodidae	1.493926251	4.005137596	Boddy 2012
Distoechurus_pennatus	Diprotodontia	Acrobatidae	-0.011512391	1.657055853	Boddy 2012
Gymnobelideus_leadbeateri	Diprotodontia	Petauridae	0.470204615	1.956648579	Boddy 2012
Lagorchestes_conspicillatus	Diprotodontia	Macropodidae	1.161487791	3.30427505	Boddy 2012
Macropus_antilopinus	Diprotodontia	Macropodidae	1.769708091	4.495350041	Boddy 2012
Macropus_eugenii	Diprotodontia	Macropodidae	1.390108101	3.645913275	Boddy 2012
Macropus_giganteus	Diprotodontia	Macropodidae	1.790115119	4.510115119	Halley 2016
Macropus_parma	Diprotodontia	Macropodidae	1.240549248	3.575187845	Boddy 2012
Macropus_parryi	Diprotodontia	Macropodidae	1.631309807	4.181672122	Boddy 2012
Macropus_robustus	Diprotodontia	Macropodidae	1.786211767	4.550717423	Boddy 2012
Macropus_rufogriseus	Diprotodontia	Macropodidae	1.581471774	4.088401902	Boddy 2012
Onychogalea_fraenata	Diprotodontia	Macropodidae	1.130333768	3.15624619	Boddy 2012
Petauroides_volans	Diprotodontia	Pseudocheiridae	0.686532598	2.954242509	Boddy 2012
Petrogale_concinna	Diprotodontia	Macropodidae	1.056752441	3.148294097	Boddy 2012
Petrogale_penicillata	Diprotodontia	Macropodidae	1.393757656	3.777426822	Boddy 2012
Petrogale_persephone	Diprotodontia	Macropodidae	1.347798215	3.758306182	Boddy 2012
Phalanger_carmelitae	Diprotodontia	Phalangeridae	0.944267446	3.244029589	Boddy 2012
Phalanger_orientalis	Diprotodontia	Phalangeridae	0.934960779	3.223755454	Boddy 2012
Phalanger_vestitus	Diprotodontia	Phalangeridae	0.99490813	3.223236273	Boddy 2012
Pseudocheirus_peregrinus	Diprotodontia	Pseudocheiridae	0.761993954	2.880241776	Boddy 2012
Setonix_brachyurus	Diprotodontia	Macropodidae	1.243038049	3.544068044	Sacher 1974
Spilocuscus_maculatus	Diprotodontia	Phalangeridae	1.142464554	3.495127881	Boddy 2012
Thylogale_billardierii	Diprotodontia	Macropodidae	1.359752029	3.558468563	Boddy 2012
Thylogale_thetis	Diprotodontia	Macropodidae	1.298660984	3.567496891	Boddy 2012
Trichosurus_vulpecula	Diprotodontia	Phalangeridae	1.056828653	3.245759356	Boddy 2012
Vombatus_ursinus	Diprotodontia	Vombatidae	1.786211767	4.434441152	Boddy 2012
Wallabia_bicolor	Diprotodontia	Macropodidae	1.514547753	4.214843848	Boddy 2012
Antechinomys_laniger	Dasyuromorphia	Dasyuridae	-0.312542387	1.250420002	Boddy 2012
Antechinus_bellus	Dasyuromorphia	Dasyuridae	-0.185299695	1.660865478	Boddy 2012
Antechinus_flavipes	Dasyuromorphia	Dasyuridae	-0.178460271	1.487138375	Boddy 2012
Antechinus_leo	Dasyuromorphia	Dasyuridae	-0.109578981	1.779596491	Boddy 2012
Antechinus_minimus	Dasyuromorphia	Dasyuridae	-0.115408525	1.559906625	Boddy 2012
Antechinus_stuartii	Dasyuromorphia	Dasyuridae	-0.103826652	1.474216264	Boddy 2012
Antechinus_swainsonii	Dasyuromorphia	Dasyuridae	0.052786253	1.802773725	Boddy 2012
Caluromys_derbianus	Didelphimorphia	Didelphidae	0.546838672	2.460897843	Boddy 2012
Caluromys_lanatus	Didelphimorphia	Didelphidae	0.491361694	2.584331224	Boddy 2012
Caluromys_philander	Didelphimorphia	Didelphidae	0.5594278	2.442479769	Boddy 2012
Dasyuroides_byrnei	Dasyuromorphia	Dasyuridae	0.191451014	1.992995098	Boddy 2012
Dasyurus_hallucatus	Dasyuromorphia	Dasyuridae	0.544276456	2.710117365	Boddy 2012
Didelphis_marsupialis	Didelphimorphia	Didelphidae	0.781755375	3.18610838	Boddy 2012
