Steppingstone sampler:
        No Stones:                  500
        Start It:                   1100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.995007	7500	-0.350500	-0.350500
1	0.990030	7500	-0.357540	-0.708040
2	0.985067	7500	-0.358855	-1.066894
3	0.980120	7500	-0.360560	-1.427454
4	0.975187	7500	-0.365901	-1.793356
5	0.970269	7500	-0.359478	-2.152833
6	0.965367	7500	-0.361051	-2.513884
7	0.960479	7500	-0.363391	-2.877275
8	0.955606	7500	-0.359949	-3.237224
9	0.950747	7500	-0.361989	-3.599213
10	0.945904	7500	-0.356334	-3.955547
11	0.941076	7500	-0.355805	-4.311352
12	0.936262	7500	-0.355463	-4.666815
13	0.931463	7500	-0.356026	-5.022841
14	0.926679	7500	-0.356302	-5.379143
15	0.921910	7500	-0.345910	-5.725053
16	0.917155	7500	-0.344765	-6.069818
17	0.912415	7500	-0.349603	-6.419421
18	0.907690	7500	-0.348478	-6.767899
19	0.902980	7500	-0.354223	-7.122122
20	0.898284	7500	-0.331659	-7.453781
21	0.893603	7500	-0.335471	-7.789252
22	0.888937	7500	-0.346244	-8.135496
23	0.884285	7500	-0.334556	-8.470052
24	0.879648	7500	-0.321049	-8.791101
25	0.875026	7500	-0.339833	-9.130935
26	0.870418	7500	-0.340820	-9.471755
27	0.865825	7500	-0.342244	-9.813999
28	0.861246	7500	-0.342876	-10.156875
29	0.856682	7500	-0.339416	-10.496291
30	0.852132	7500	-0.342130	-10.838421
31	0.847597	7500	-0.340003	-11.178424
32	0.843077	7500	-0.332969	-11.511393
33	0.838571	7500	-0.321439	-11.832833
34	0.834079	7500	-0.336473	-12.169306
35	0.829602	7500	-0.327795	-12.497101
36	0.825140	7500	-0.309653	-12.806754
37	0.820691	7500	-0.319916	-13.126670
38	0.816258	7500	-0.331262	-13.457932
39	0.811838	7500	-0.331285	-13.789217
40	0.807433	7500	-0.324792	-14.114009
41	0.803043	7500	-0.326515	-14.440523
42	0.798667	7500	-0.326499	-14.767022
43	0.794305	7500	-0.325046	-15.092068
44	0.789957	7500	-0.321477	-15.413545
45	0.785624	7500	-0.326658	-15.740203
46	0.781305	7500	-0.323128	-16.063330
47	0.777000	7500	-0.322378	-16.385709
48	0.772710	7500	-0.322106	-16.707815
49	0.768433	7500	-0.323092	-17.030907
50	0.764172	7500	-0.321802	-17.352709
51	0.759924	7500	-0.318188	-17.670897
52	0.755690	7500	-0.318004	-17.988900
53	0.751471	7500	-0.319319	-18.308220
54	0.747266	7500	-0.317220	-18.625439
55	0.743075	7500	-0.317865	-18.943304
56	0.738898	7500	-0.313979	-19.257284
57	0.734735	7500	-0.314422	-19.571706
58	0.730586	7500	-0.311567	-19.883273
59	0.726452	7500	-0.309279	-20.192551
60	0.722331	7500	-0.309052	-20.501603
61	0.718225	7500	-0.304820	-20.806423
62	0.714132	7500	-0.304349	-21.110772
63	0.710054	7500	-0.312853	-21.423625
64	0.705989	7500	-0.311753	-21.735379
65	0.701939	7500	-0.295741	-22.031120
66	0.697902	7500	-0.303344	-22.334463
67	0.693880	7500	-0.303199	-22.637662
68	0.689871	7500	-0.302102	-22.939764
69	0.685877	7500	-0.305379	-23.245143
70	0.681896	7500	-0.297416	-23.542559
71	0.677929	7500	-0.299865	-23.842424
72	0.673976	7500	-0.298542	-24.140966
73	0.670037	7500	-0.304528	-24.445494
74	0.666112	7500	-0.298429	-24.743923
75	0.662201	7500	-0.298447	-25.042370
76	0.658303	7500	-0.293761	-25.336131
77	0.654419	7500	-0.291596	-25.627726
78	0.650549	7500	-0.293474	-25.921201
79	0.646693	7500	-0.294486	-26.215686
80	0.642851	7500	-0.291890	-26.507576
81	0.639022	7500	-0.291197	-26.798773
82	0.635207	7500	-0.290453	-27.089226
83	0.631405	7500	-0.287955	-27.377180
84	0.627618	7500	-0.291135	-27.668315
85	0.623844	7500	-0.290876	-27.959191
86	0.620083	7500	-0.279693	-28.238885
87	0.616337	7500	-0.287649	-28.526533
88	0.612604	7500	-0.283629	-28.810163
89	0.608884	7500	-0.280252	-29.090415
90	0.605178	7500	-0.284420	-29.374835
91	0.601486	7500	-0.280904	-29.655739
92	0.597807	7500	-0.281514	-29.937254
93	0.594142	7500	-0.281478	-30.218731
94	0.590490	7500	-0.281494	-30.500225
95	0.586852	7500	-0.277175	-30.777400
96	0.583227	7500	-0.279145	-31.056545
97	0.579616	7500	-0.277626	-31.334172
98	0.576018	7500	-0.277100	-31.611272
99	0.572433	7500	-0.273675	-31.884947
100	0.568862	7500	-0.270800	-32.155747
101	0.565305	7500	-0.275124	-32.430871
102	0.561761	7500	-0.270459	-32.701331
103	0.558230	7500	-0.268666	-32.969997
104	0.554712	7500	-0.269500	-33.239497
105	0.551208	7500	-0.268517	-33.508013
106	0.547717	7500	-0.269699	-33.777712
107	0.544240	7500	-0.266550	-34.044262
108	0.540775	7500	-0.267632	-34.311894
109	0.537324	7500	-0.266475	-34.578369
110	0.533887	7500	-0.265849	-34.844219
111	0.530462	7500	-0.263553	-35.107772
112	0.527051	7500	-0.262363	-35.370135
113	0.523653	7500	-0.264041	-35.634176
114	0.520268	7500	-0.255718	-35.889894
115	0.516896	7500	-0.260525	-36.150419
116	0.513537	7500	-0.256019	-36.406439
117	0.510192	7500	-0.260389	-36.666828
118	0.506859	7500	-0.259332	-36.926160
119	0.503540	7500	-0.260195	-37.186355
120	0.500234	7500	-0.255774	-37.442129
121	0.496941	7500	-0.255488	-37.697617
122	0.493660	7500	-0.255119	-37.952735
123	0.490393	7500	-0.253309	-38.206044
124	0.487139	7500	-0.251129	-38.457173
125	0.483898	7500	-0.250350	-38.707523
126	0.480670	7500	-0.253486	-38.961010
127	0.477455	7500	-0.251095	-39.212104
128	0.474253	7500	-0.247518	-39.459623
129	0.471063	7500	-0.247900	-39.707523
130	0.467887	7500	-0.248052	-39.955575
131	0.464723	7500	-0.245360	-40.200935
132	0.461573	7500	-0.245126	-40.446062
133	0.458435	7500	-0.241919	-40.687980
134	0.455310	7500	-0.244478	-40.932459
135	0.452198	7500	-0.240146	-41.172605
136	0.449098	7500	-0.241686	-41.414291
137	0.446012	7500	-0.243064	-41.657355
138	0.442938	7500	-0.240852	-41.898207
139	0.439877	7500	-0.238586	-42.136793
140	0.436829	7500	-0.238799	-42.375592
141	0.433793	7500	-0.240683	-42.616275
142	0.430770	7500	-0.234953	-42.851228
143	0.427760	7500	-0.233937	-43.085165
144	0.424762	7500	-0.234157	-43.319321
145	0.421777	7500	-0.234187	-43.553508
146	0.418805	7500	-0.235131	-43.788640
147	0.415845	7500	-0.231725	-44.020365
148	0.412898	7500	-0.228985	-44.249350
149	0.409963	7500	-0.229144	-44.478494
150	0.407041	7500	-0.230580	-44.709073
151	0.404132	7500	-0.228919	-44.937993
152	0.401235	7500	-0.227201	-45.165194
153	0.398350	7500	-0.227841	-45.393034
154	0.395478	7500	-0.223984	-45.617018
155	0.392619	7500	-0.226639	-45.843658
156	0.389772	7500	-0.222762	-46.066419
157	0.386937	7500	-0.221755	-46.288174
158	0.384115	7500	-0.223277	-46.511452
159	0.381305	7500	-0.224245	-46.735696
160	0.378507	7500	-0.221709	-46.957406
161	0.375722	7500	-0.220112	-47.177518
162	0.372949	7500	-0.218339	-47.395857
163	0.370189	7500	-0.214995	-47.610852
164	0.367440	7500	-0.215879	-47.826730
165	0.364705	7500	-0.217857	-48.044587
166	0.361981	7500	-0.216373	-48.260960
167	0.359269	7500	-0.216308	-48.477268
168	0.356570	7500	-0.212784	-48.690052
169	0.353883	7500	-0.210814	-48.900866
170	0.351208	7500	-0.210314	-49.111179
171	0.348546	7500	-0.210268	-49.321447
172	0.345895	7500	-0.210518	-49.531965
173	0.343257	7500	-0.209889	-49.741854
174	0.340630	7500	-0.210474	-49.952328
175	0.338016	7500	-0.204865	-50.157193
176	0.335414	7500	-0.209359	-50.366552
177	0.332824	7500	-0.203600	-50.570152
178	0.330246	7500	-0.205369	-50.775521
179	0.327680	7500	-0.204180	-50.979700
180	0.325126	7500	-0.203334	-51.183034
181	0.322584	7500	-0.202051	-51.385085
182	0.320054	7500	-0.202485	-51.587570
183	0.317536	7500	-0.204352	-51.791921
184	0.315030	7500	-0.199848	-51.991769
185	0.312535	7500	-0.198364	-52.190133
186	0.310053	7500	-0.198944	-52.389077
187	0.307582	7500	-0.199203	-52.588280
188	0.305124	7500	-0.195246	-52.783526
189	0.302677	7500	-0.197767	-52.981293
190	0.300242	7500	-0.194934	-53.176227
191	0.297819	7500	-0.194358	-53.370584
192	0.295407	7500	-0.193865	-53.564449
193	0.293007	7500	-0.193210	-53.757659
194	0.290619	7500	-0.189841	-53.947499
195	0.288243	7500	-0.190570	-54.138069
196	0.285879	7500	-0.190652	-54.328721
197	0.283526	7500	-0.189895	-54.518617
198	0.281184	7500	-0.189596	-54.708213
199	0.278855	7500	-0.187160	-54.895373
200	0.276537	7500	-0.186333	-55.081706
201	0.274230	7500	-0.186355	-55.268061
202	0.271936	7500	-0.186066	-55.454127
203	0.269652	7500	-0.185449	-55.639577
204	0.267381	7500	-0.185275	-55.824852
205	0.265121	7500	-0.186733	-56.011585
206	0.262872	7500	-0.185633	-56.197218
207	0.260635	7500	-0.180162	-56.377380
208	0.258409	7500	-0.179589	-56.556969
209	0.256195	7500	-0.181451	-56.738420
210	0.253992	7500	-0.179227	-56.917647
211	0.251800	7500	-0.178862	-57.096509
212	0.249620	7500	-0.177400	-57.273909
213	0.247451	7500	-0.177712	-57.451622
214	0.245294	7500	-0.176224	-57.627845
215	0.243148	7500	-0.174427	-57.802273
216	0.241013	7500	-0.173496	-57.975768
217	0.238890	7500	-0.172872	-58.148641
218	0.236778	7500	-0.175366	-58.324006
219	0.234677	7500	-0.173017	-58.497023
220	0.232587	7500	-0.175260	-58.672283
221	0.230509	7500	-0.170765	-58.843048
222	0.228441	7500	-0.170595	-59.013643
223	0.226385	7500	-0.169371	-59.183014
224	0.224340	7500	-0.169143	-59.352157
225	0.222306	7500	-0.167653	-59.519810
226	0.220283	7500	-0.166927	-59.686738
227	0.218272	7500	-0.167918	-59.854656
228	0.216271	7500	-0.166265	-60.020920
